sequence_a	sequence_b	software	sensitivity	specificity	approx_correlation	correlation	matthew_coefficient
AE004717.1_4221-4426	BX572600.1_273933-274129	foldalign	0.532	0.500	0.516	0.509	0.509
AF271890.1_1-237	L29616.1_5-230	foldalign	0.000	0.000	0.000	0.000	-0.010
X16851.1_1-119	U09230.1_4482-4597	foldalign	0.429	0.450	0.439	0.423	0.423
X02258.1_3-117	X02252.1_3-118	foldalign	0.590	0.590	0.590	0.582	0.582
AF347015.1_1604-1672	AC084429.5_20418-20485	foldalign	0.286	0.300	0.293	0.258	0.258
M10202.1_3-117	X13037.1_1-119	foldalign	1.000	1.000	1.000	1.000	1.000
X15246.1_425-492	J01478.1_118-188	foldalign	0.000	0.000	0.000	0.000	-0.045
Z84285.1_1-250	AF077229.1_1-287	foldalign	0.375	0.366	0.370	0.366	0.366
AE007658.1_8987-8895	AE006566.1_2851-2932	foldalign	0.211	0.167	0.189	0.156	0.156
AF207752.1_9249-9299	D16192.1_986-1036	foldalign	1.000	1.000	1.000	1.000	1.000
U37270.1_658-741	AY173958.1_202-285	foldalign	1.000	1.000	1.000	1.000	1.000
AF196710.1_585-683	AF096654.1_541-639	foldalign	1.000	1.000	1.000	1.000	1.000
AY187680.1_65-148	L11787.1_65-148	foldalign	1.000	1.000	1.000	1.000	1.000
AF323226.1_65-116	AY519074.1_46-97	foldalign	1.000	1.000	1.000	1.000	1.000
L36887.1_4319-4391	K01389.1_345-433	foldalign	0.000	0.000	0.000	0.000	-0.038
U51283.1_364-419	AF385935.1_9583-9639	foldalign	1.000	1.000	1.000	1.000	1.000
X00757.1_2-119	X02249.1_3-117	foldalign	0.154	0.158	0.156	0.138	0.138
BX255897.3_139940-139994	AL807818.14_129268-129322	foldalign	1.000	1.000	1.000	1.000	1.000
J01390.1_6234-6306	X02173.1_522-593	foldalign	1.000	1.000	1.000	1.000	1.000
AL591793.1_152515-152628	U32720.1_1366-1454	foldalign	0.000	0.000	0.000	0.000	-0.033
AF072692.1_240-358	M35395.1_1-119	foldalign	1.000	1.000	1.000	1.000	1.000
AY070191.1_1-277	AJ438621.1_1-250	foldalign	0.000	0.000	0.000	0.000	-0.009
AY288872.1_65-148	Z79568.1_65-148	foldalign	1.000	1.000	1.000	1.000	1.000
AL645723.11_192421-192359	AF274027.1_835-900	foldalign	0.286	0.364	0.325	0.304	0.304
X12631.1_1937-1868	X53392.1_97-170	foldalign	0.909	0.909	0.909	0.906	0.906
AE016822.1_1714518-1714420	AJ312125.1_453-315	foldalign	0.000	0.000	0.000	0.000	-0.035
AY098610.1_65-148	AJ276595.1_171-254	foldalign	1.000	1.000	1.000	1.000	1.000
U21135.1_2084-2135	AF484485.1_1293-1344	foldalign	1.000	1.000	1.000	1.000	1.000
X58874.1_548-664	M35565.1_3-118	foldalign	0.405	0.405	0.405	0.392	0.392
AE007789.1_11572-11662	AE007651.1_7649-7751	foldalign	0.913	0.913	0.913	0.912	0.912
X14848.1_3820-3750	M10217.1_5909-5841	foldalign	1.000	1.000	1.000	1.000	1.000
K00281.1_1-72	X55514.2_3882-3954	foldalign	0.952	1.000	0.976	0.975	0.975
BX005301.9_81584-81530	AL928901.8_57197-57143	foldalign	1.000	1.000	1.000	1.000	1.000
V00166.1_1829-1941	X86563.2_75403-75477	foldalign	0.000	0.000	0.000	0.000	-0.044
AB025075.1_65-148	AY451175.1_148-231	foldalign	1.000	1.000	1.000	1.000	1.000
K02682.1_2-118	X00068.1_1-119	foldalign	0.897	0.897	0.897	0.895	0.895
X01534.1_1-119	M16530.1_8-123	foldalign	0.341	0.341	0.341	0.325	0.325
AJ583744.1_51-102	AJ249237.1_1294-1345	foldalign	1.000	1.000	1.000	1.000	1.000
X51381.1_239-429	X51375.1_389-580	foldalign	0.866	0.866	0.866	0.864	0.864
AJ131593.1_3-115	AJ131588.1_3-114	foldalign	0.484	0.500	0.492	0.483	0.483
AJ132198.1_1-116	X13035.1_1-119	foldalign	1.000	1.000	1.000	1.000	1.000
AY123045.1_16666-16547	AE009607.1_63-169	foldalign	0.576	0.576	0.576	0.566	0.566
X00071.1_1-118	X01543.1_1-118	foldalign	1.000	1.000	1.000	1.000	1.000
AE013139.1_7699-7613	AP004599.1_137225-137134	foldalign	0.727	0.696	0.711	0.699	0.699
M20966.1_1-88	X07379.1_305-375	foldalign	0.429	0.429	0.429	0.411	0.411
M22764.1_167-240	D12695.1_203-134	foldalign	1.000	1.000	1.000	1.000	1.000
AY190404.1_1-181	AF165046.1_1-379	foldalign	0.305	0.290	0.298	0.290	0.290
L36887.1_4319-4391	K00462.1_57-128	foldalign	1.000	1.000	1.000	1.000	1.000
AF067157.1_232-315	AF069671.1_86-169	foldalign	1.000	1.000	1.000	1.000	1.000
AF084654.1_65-148	AF480684.1_11-94	foldalign	1.000	1.000	1.000	1.000	1.000
X14415.1_175-335	X15926.1_1-161	foldalign	0.200	0.213	0.206	0.198	0.198
AF142677.4_47045-46960	AF047724.1_711-640	foldalign	0.381	0.381	0.381	0.360	0.360
AP003194.2_209972-209870	AP003190.2_118314-118418	foldalign	0.562	0.720	0.641	0.630	0.630
Y18934.1_3868-3797	M86499.1_1022-1088	foldalign	1.000	1.000	1.000	1.000	1.000
D14420.1_2-291	D10077.1_1-391	foldalign	0.981	1.000	0.990	0.990	0.990
AY033768.1_1-296	D13453.1_3-184	foldalign	0.357	0.323	0.340	0.333	0.333
X06054.1_711-637	X16643.1_820-900	foldalign	0.000	0.000	0.000	0.000	-0.039
AY123045.1_16666-16547	AE011991.1_4930-4833	foldalign	0.000	0.000	0.000	0.000	-0.026
X01055.1_1-297	AC091616.2_101009-101306	foldalign	0.113	0.117	0.115	0.109	0.109
U89858.1_452-550	AF196730.1_601-699	foldalign	1.000	1.000	1.000	1.000	1.000
M76575.1_4-118	D13622.1_3-119	foldalign	0.436	0.436	0.436	0.422	0.422
AF061640.1_97-212	AF193253.1_70-186	foldalign	0.543	0.543	0.543	0.535	0.535
X05053.1_3-118	X01950.1_1-117	foldalign	0.432	0.432	0.432	0.419	0.419
AY331287.1_1296-1347	AY492777.1_840-891	foldalign	1.000	1.000	1.000	1.000	1.000
AY172636.1_1-322	D49751.1_1-388	foldalign	0.538	0.543	0.541	0.538	0.538
AF067154.1_8971-9027	AF254720.1_393-449	foldalign	1.000	1.000	1.000	1.000	1.000
AF114035.1_6057-6173	L27168.1_1-120	foldalign	0.750	0.794	0.772	0.767	0.767
L38341.1_1-288	L34387.1_1-279	foldalign	0.000	0.000	0.000	0.000	-0.007
AE012978.1_1-99	AP004603.1_147738-147633	foldalign	0.000	0.000	0.000	0.000	-0.024
AF487242.1_558-475	X00229.1_1945-2016	foldalign	0.455	0.455	0.455	0.439	0.439
AJ005302.1_281-334	AJ550908.1_281-334	foldalign	1.000	1.000	1.000	1.000	1.000
D10368.1_338-405	X60981.1_3898-3969	foldalign	0.450	0.450	0.450	0.427	0.427
AF323244.1_30-81	AY371130.1_1275-1326	foldalign	1.000	1.000	1.000	1.000	1.000
L38333.1_3-288	AJ582126.1_1-277	foldalign	0.000	0.000	0.000	0.000	-0.007
J01435.1_55-120	X01078.1_1396-1463	foldalign	0.000	0.000	0.000	0.000	-0.043
X17375.2_29364-29438	X04465.1_73150-73215	foldalign	0.000	0.000	0.000	0.000	-0.035
M84754.1_9261-9311	AF207768.1_9249-9299	foldalign	1.000	1.000	1.000	1.000	1.000
AF238482.1_1-356	AF041267.1_1-191	foldalign	0.757	0.779	0.768	0.766	0.766
L11773.1_65-148	AF443108.1_228-311	foldalign	1.000	1.000	1.000	1.000	1.000
X05057.1_3-119	X72588.1_6990-7093	foldalign	0.444	0.429	0.437	0.425	0.425
AF506689.1_1-248	Z84265.1_1-250	foldalign	0.000	0.000	0.000	0.000	-0.008
AE002556.2_9004-9107	AE009258.1_7675-7777	foldalign	1.000	1.000	1.000	1.000	1.000
AE005414.1_2681-2611	J01390.1_11761-11831	foldalign	1.000	1.000	1.000	1.000	1.000
AF443109.1_1467-1518	AF024180.1_90-141	foldalign	1.000	1.000	1.000	1.000	1.000
J02386.1_42-95	Y12833.1_339-285	foldalign	1.000	1.000	1.000	1.000	1.000
X16765.1_1-73	D16387.1_11403-11471	foldalign	0.429	0.562	0.496	0.472	0.472
AC005329.1_7043-6971	M68929.1_166107-166035	foldalign	1.000	1.000	1.000	1.000	1.000
X16886.1_1215-1285	U67517.1_7511-7582	foldalign	0.818	0.857	0.838	0.831	0.831
V00476.1_1-119	M10817.1_1-119	foldalign	1.000	1.000	1.000	1.000	1.000
AY055151.1_298-550	AY062273.1_288-534	foldalign	0.682	0.714	0.698	0.695	0.695
AF457067.1_1287-1338	AF442566.1_1451-1502	foldalign	1.000	1.000	1.000	1.000	1.000
BX842577.1_344457-344587	AE010046.1_2764-2849	foldalign	0.000	0.000	0.000	0.000	-0.049
AF149787.1_1406-1519	AY329366.1_1456-1569	foldalign	0.000	0.000	0.000	0.000	-0.015
AE017272.1_195611-195716	AE009471.1_6144-5974	foldalign	0.000	0.000	0.000	0.000	-0.025
AY519098.1_46-97	AY535771.1_171-222	foldalign	1.000	1.000	1.000	1.000	1.000
D00547.1_242-315	AP000063.1_59179-59095	foldalign	0.000	0.000	0.000	0.000	-0.035
L38320.1_3-288	Z84268.1_251-2	foldalign	0.000	0.000	0.000	0.000	-0.008
AP005045.1_132330-132217	AL162752.2_339009-338906	foldalign	0.406	0.419	0.413	0.397	0.397
AF158101.6_72456-72373	X04821.1_1-73	foldalign	0.381	0.381	0.381	0.352	0.352
AF004309.1_87-160	J01440.1_394-465	foldalign	1.000	1.000	1.000	1.000	1.000
L28867.1_329-385	X03189.1_672-728	foldalign	1.000	1.000	1.000	1.000	1.000
AY329366.1_1456-1569	X66185.1_1123-1236	foldalign	1.000	1.000	1.000	1.000	1.000
L11765.1_1308-1359	AJ535010.1_23-74	foldalign	1.000	1.000	1.000	1.000	1.000
AF036756.1_118-162	Z69689.1_341-389	foldalign	0.714	0.769	0.742	0.725	0.725
L28915.1_462-560	K03455.1_579-677	foldalign	1.000	1.000	1.000	1.000	1.000
AC006665.1_5230-5065	L22246.1_3195-3357	foldalign	0.400	0.400	0.400	0.393	0.393
M84824.1_2-196	AY190449.1_1-181	foldalign	0.000	0.000	0.000	0.000	-0.011
AF311939.1_4359-4419	X67706.1_4364-4424	foldalign	1.000	1.000	1.000	1.000	1.000
AF096646.1_517-615	AF411967.1_580-678	foldalign	1.000	1.000	1.000	1.000	1.000
X52392.1_16039-16107	X05071.1_204-288	foldalign	0.286	0.286	0.286	0.243	0.243
AP005049.1_182766-182672	AE016955.1_241328-241238	foldalign	0.217	0.217	0.217	0.202	0.202
AF386017.1_65-148	AF457088.1_59-142	foldalign	1.000	1.000	1.000	1.000	1.000
X60981.1_3182-3253	J00309.1_356-427	foldalign	1.000	1.000	1.000	1.000	1.000
V00680.1_447-380	X05394.1_580-653	foldalign	1.000	1.000	1.000	1.000	1.000
X53443.1_135-206	M89651.1_39808-39722	foldalign	0.400	0.435	0.417	0.396	0.396
AY161880.1_172-255	AF418455.1_48-131	foldalign	1.000	1.000	1.000	1.000	1.000
AF193277.1_230-313	AF386055.1_65-148	foldalign	1.000	1.000	1.000	1.000	1.000
Z17284.1_96-198	U43841.1_337-439	foldalign	0.000	0.000	0.000	0.000	-0.014
J04815.1_1371-1301	M68929.1_152677-152605	foldalign	1.000	1.000	1.000	1.000	1.000
AY007788.1_537-679	X06475.1_589-783	foldalign	0.476	0.455	0.465	0.457	0.457
AC021639.5_181586-181505	V00676.1_92-159	foldalign	0.458	0.458	0.458	0.430	0.430
X52299.1_5-122	X02031.1_1-118	foldalign	0.564	0.611	0.588	0.577	0.577
U88822.1_93-191	AF069140.1_577-675	foldalign	1.000	1.000	1.000	1.000	1.000
AY165221.1_243-294	AY358053.1_1284-1335	foldalign	0.000	0.000	0.000	0.000	-0.038
X52301.1_1-117	D13620.1_3-119	foldalign	0.585	0.585	0.585	0.577	0.577
AE005234.1_8154-8227	M22010.1_2624-2705	foldalign	0.000	0.000	0.000	0.000	-0.033
AJ252868.1_65-148	AB083567.1_65-148	foldalign	0.000	0.000	0.000	0.000	-0.018
X60981.1_3446-3518	J01390.1_12505-12576	foldalign	0.955	1.000	0.977	0.976	0.976
AC145764.2_6538-6588	BX004764.8_42998-42941	foldalign	1.000	1.000	1.000	1.000	1.000
AY037283.1_59-142	AY098609.1_65-148	foldalign	1.000	1.000	1.000	1.000	1.000
AE006092.1_9479-9578	D90912.1_112591-112684	foldalign	0.000	0.000	0.000	0.000	-0.036
AF106845.1_1870-2065	M72890.1_1-196	foldalign	0.984	0.984	0.984	0.984	0.984
X66375.1_99-169	X03016.1_3583-3669	foldalign	0.429	0.529	0.479	0.459	0.459
AB081387.1_266-517	AF231763.1_393-644	foldalign	1.000	1.000	1.000	1.000	1.000
J01533.1_143-72	AF160864.1_20552-20480	foldalign	1.000	1.000	1.000	1.000	1.000
AP005048.1_244084-244179	AL591787.1_222640-222555	foldalign	0.500	0.577	0.538	0.522	0.522
AY358054.1_1284-1335	AY165204.1_239-290	foldalign	1.000	1.000	1.000	1.000	1.000
Z84247.1_1-251	AF217313.1_1-256	foldalign	0.709	0.709	0.709	0.707	0.707
AY140149.1_1173-1221	AJ405950.1_1-52	foldalign	1.000	1.000	1.000	1.000	1.000
AE006566.1_2851-2932	AP003015.2_179461-179552	foldalign	0.000	0.000	0.000	0.000	-0.033
AF142677.4_47404-47332	U22383.1_8197-8124	foldalign	1.000	1.000	1.000	1.000	1.000
Z50074.1_3-119	U67537.1_493-607	foldalign	0.405	0.417	0.411	0.398	0.398
U46016.1_234-317	AF286237.1_223-306	foldalign	1.000	1.000	1.000	1.000	1.000
M20942.1_1-73	AC002512.1_77401-77473	foldalign	1.000	1.000	1.000	1.000	1.000
X02039.1_3-118	D13621.1_3-119	foldalign	0.436	0.436	0.436	0.423	0.423
AF271889.1_1-237	AF506669.1_3-246	foldalign	0.000	0.000	0.000	0.000	-0.009
AF442565.1_60-177	M93259.1_693-811	foldalign	0.000	0.000	0.000	0.000	-0.016
AF102225.1_334-390	AF196751.1_456-512	foldalign	1.000	1.000	1.000	1.000	1.000
M19204.1_1-187	K02457.1_1-187	foldalign	1.000	1.000	1.000	1.000	1.000
X14698.1_250-321	AF347015.1_12139-12207	foldalign	1.000	1.000	1.000	1.000	1.000
AL592062.11_88031-88081	BX005301.9_18758-18704	foldalign	0.933	1.000	0.967	0.965	0.965
AL162753.2_24984-25083	AE012449.1_4930-4832	foldalign	0.969	1.000	0.984	0.984	0.984
X55255.1_4-120	M35567.1_3-116	foldalign	0.463	0.463	0.463	0.451	0.451
AF096779.1_455-511	U80538.1_288-344	foldalign	1.000	1.000	1.000	1.000	1.000
X56456.1_243-390	X56458.1_91-238	foldalign	1.000	1.000	1.000	1.000	1.000
AE013010.1_3537-3777	AE015939.1_117645-117826	foldalign	0.000	0.000	0.000	0.000	-0.019
AP000058.1_196062-195789	AJ248283.1_57201-56921	foldalign	0.000	0.000	0.000	0.000	-0.012
AP003362.3_263674-263577	AE013002.1_8645-8535	foldalign	0.000	0.000	0.000	0.000	-0.034
M57527.1_1-70	AF052653.1_130-203	foldalign	1.000	1.000	1.000	1.000	1.000
D10988.1_9387-9423	D49770.1_1041-1076	foldalign	1.000	1.000	1.000	1.000	1.000
AF134583.1_1816-1744	X61063.1_119-188	foldalign	0.000	0.000	0.000	0.000	-0.036
X05057.1_3-119	X03701.1_3-119	foldalign	0.462	0.462	0.462	0.449	0.449
AJ239083.1_8962-9018	AF443092.1_8891-8947	foldalign	0.000	0.000	0.000	0.000	-0.043
Z50073.1_3-119	X54477.1_2-120	foldalign	0.000	0.000	0.000	0.000	-0.023
X00993.1_1-119	X01003.1_1-119	foldalign	1.000	1.000	1.000	1.000	1.000
AF281769.1_65-148	AB044060.1_65-148	foldalign	0.000	0.000	0.000	0.000	-0.020
AB074065.1_104-187	AY043174.1_65-148	foldalign	1.000	1.000	1.000	1.000	1.000
X55514.2_4047-4119	AF164586.1_93-158	foldalign	1.000	1.000	1.000	1.000	1.000
AE016921.1_114001-113907	AE005876.1_3727-3622	foldalign	0.259	0.269	0.264	0.248	0.248
Z84223.1_1-250	L29612.1_1-231	foldalign	0.000	0.000	0.000	0.000	-0.009
M22010.1_3113-3185	AF234285.1_261-333	foldalign	1.000	1.000	1.000	1.000	1.000
AF170504.1_284-337	AJ241828.1_56-3	foldalign	1.000	1.000	1.000	1.000	1.000
M17309.1_99-171	M10217.1_5909-5841	foldalign	1.000	1.000	1.000	1.000	1.000
U67492.1_3149-3223	U61165.1_404-477	foldalign	0.857	0.818	0.838	0.831	0.831
X12622.1_1-118	M18170.1_1-119	foldalign	0.293	0.293	0.293	0.278	0.278
AF256211.1_578-676	AF385936.1_599-697	foldalign	1.000	1.000	1.000	1.000	1.000
AF503396.1_1297-1348	AY140125.1_1160-1210	foldalign	1.000	1.000	1.000	1.000	1.000
X05517.1_3-118	M35565.1_3-118	foldalign	0.469	0.469	0.469	0.460	0.460
L76399.1_392-643	U05876.1_398-649	foldalign	1.000	1.000	1.000	1.000	1.000
AE007789.1_11572-11662	AP005219.1_132445-132345	foldalign	0.000	0.000	0.000	0.000	-0.031
AP001511.1_149016-149129	AE015940.1_248618-248510	foldalign	0.286	0.286	0.286	0.268	0.268
AL031229.2_40502-40430	D16387.1_11325-11257	foldalign	0.429	0.429	0.429	0.408	0.408
U51780.1_1-206	AF041283.1_1-191	foldalign	0.719	0.759	0.739	0.736	0.736
X78552.1_318-415	X82229.1_194-291	foldalign	1.000	1.000	1.000	1.000	1.000
AE000516.2_79275-79185	AE017152.1_58537-58646	foldalign	0.000	0.000	0.000	0.000	-0.043
X06847.1_1-119	X01003.1_1-119	foldalign	0.930	0.930	0.930	0.929	0.929
AJ241840.1_56-3	D00685.1_1-46	foldalign	0.000	0.000	0.000	0.000	-0.069
AF061642.1_257-340	AB042480.1_65-148	foldalign	0.000	0.000	0.000	0.000	-0.026
X13040.1_1-118	X06844.1_1-119	foldalign	1.000	1.000	1.000	1.000	1.000
X14419.1_178-338	AE003745.3_24660-24823	foldalign	0.057	0.059	0.058	0.044	0.044
AF119796.3_392-643	L76395.1_344-595	foldalign	0.654	0.654	0.654	0.652	0.652
J04502.1_2903-2830	AF008220.1_6443-6516	foldalign	1.000	1.000	1.000	1.000	1.000
X79704.1_3397-3511	X06849.1_1-119	foldalign	0.351	0.371	0.361	0.346	0.346
X52392.1_6506-6434	AF067200.1_16-89	foldalign	0.870	0.870	0.870	0.864	0.864
X16752.1_1-74	X03154.1_801-875	foldalign	1.000	1.000	1.000	1.000	1.000
AY253307.1_1299-1350	AF212282.1_1212-1263	foldalign	1.000	1.000	1.000	1.000	1.000
M86493.1_1-68	AB027572.1_4261-4342	foldalign	0.455	0.455	0.455	0.426	0.426
AY304902.1_1280-1331	AJ583741.1_51-102	foldalign	1.000	1.000	1.000	1.000	1.000
U81478.1_411-509	U89859.1_451-549	foldalign	1.000	1.000	1.000	1.000	1.000
AF506666.1_2-232	AY190444.1_1-181	foldalign	0.833	0.816	0.825	0.823	0.823
AY463231.1_28-126	U51291.1_488-586	foldalign	1.000	1.000	1.000	1.000	1.000
D45875.1_1-238	AF134759.1_1-181	foldalign	0.000	0.000	0.000	0.000	-0.010
AF200843.1_3014-3079	X61066.1_339-412	foldalign	1.000	1.000	1.000	1.000	1.000
X13485.1_5-77	AE005546.1_4076-3993	foldalign	0.190	0.167	0.179	0.137	0.137
AY494950.1_597-710	AY138839.1_1562-1675	foldalign	1.000	1.000	1.000	1.000	1.000
M34911.1_4-118	D13615.1_3-119	foldalign	0.441	0.429	0.435	0.423	0.423
X05535.1_1-118	X83208.1_1-119	foldalign	1.000	1.000	1.000	1.000	1.000
X12631.1_8405-8475	X61061.1_74-147	foldalign	0.000	0.000	0.000	0.000	-0.041
AE014626.1_5916-5808	AE008441.1_6797-6885	foldalign	0.250	0.231	0.240	0.218	0.218
AE006489.1_4483-4560	AE014879.1_5303-5375	foldalign	1.000	1.000	1.000	1.000	1.000
AB031211.1_8065-8137	X15613.1_59-121	foldalign	1.000	1.000	1.000	1.000	1.000
AF484514.1_59-142	AY451144.1_147-230	foldalign	1.000	1.000	1.000	1.000	1.000
L28906.1_463-561	AF239626.1_541-639	foldalign	1.000	1.000	1.000	1.000	1.000
X01551.1_1-119	X52048.1_2-120	foldalign	1.000	1.000	1.000	1.000	1.000
AF165050.1_9249-9299	D50480.1_9249-9299	foldalign	1.000	1.000	1.000	1.000	1.000
X02025.1_1-116	M11544.1_4-118	foldalign	0.462	0.450	0.456	0.445	0.445
AJ278830.1_9129-9194	AF207759.1_9123-9188	foldalign	0.000	0.000	0.000	0.000	-0.033
X17622.1_2129-2242	X17621.1_1700-1813	foldalign	1.000	1.000	1.000	1.000	1.000
AY344040.1_1-258	AY145911.1_1-213	foldalign	0.093	0.104	0.098	0.089	0.089
AF205856.1_1102-1215	AF323751.1_1477-1590	foldalign	1.000	1.000	1.000	1.000	1.000
AP001513.1_225753-225867	AP001512.1_20234-20342	foldalign	0.848	0.848	0.848	0.845	0.845
X55320.1_1-72	AF160864.1_14524-14453	foldalign	1.000	1.000	1.000	1.000	1.000
X17072.1_4855-4880	X01685.1_594-619	foldalign	1.000	1.000	1.000	1.000	1.000
AJ291719.1_9558-9614	AF443086.1_8909-8965	foldalign	1.000	1.000	1.000	1.000	1.000
M68929.1_18311-18382	AB042240.3_36390-36319	foldalign	1.000	1.000	1.000	1.000	1.000
M20947.1_1-74	Z82044.1_16031-16103	foldalign	1.000	1.000	1.000	1.000	1.000
AF326149.1_55-138	AF538306.1_853-936	foldalign	1.000	1.000	1.000	1.000	1.000
AF270301.1_145-36	AL596172.1_176254-176136	foldalign	1.000	1.000	1.000	1.000	1.000
Z99123.2_188544-188650	AP001510.1_12492-12388	foldalign	1.000	1.000	1.000	1.000	1.000
AF074613.1_60570-60649	AF143425.1_760-901	foldalign	0.452	0.424	0.438	0.417	0.417
AF368293.1_121-224	AP002546.2_147527-147424	foldalign	0.000	0.000	0.000	0.000	-0.030
D49374.1_1-389	AY190506.1_1-181	foldalign	0.772	0.759	0.765	0.763	0.763
AF116561.1_5902-6018	X06833.1_1-115	foldalign	0.769	0.750	0.760	0.754	0.754
L11786.1_1287-1338	AF457088.1_1278-1329	foldalign	1.000	1.000	1.000	1.000	1.000
AJ550898.1_282-335	AJ536614.1_206-152	foldalign	1.000	1.000	1.000	1.000	1.000
X51423.1_1802-1874	M20947.1_1-74	foldalign	1.000	1.000	1.000	1.000	1.000
M32222.1_3110-3183	AE005527.1_84-156	foldalign	1.000	1.000	1.000	1.000	1.000
Z50061.1_3-119	D13621.1_3-119	foldalign	1.000	1.000	1.000	1.000	1.000
AB057598.1_1528-1593	AF207756.1_9114-9179	foldalign	1.000	1.000	1.000	1.000	1.000
AY344040.1_1-258	AY190397.1_1-181	foldalign	0.000	0.000	0.000	0.000	-0.009
M18050.1_352-424	X16887.1_483-416	foldalign	0.000	0.000	0.000	0.000	-0.047
AY371165.1_59-142	U56891.1_65-148	foldalign	1.000	1.000	1.000	1.000	1.000
AE016745.1_287368-287470	AL596166.1_166748-166844	foldalign	0.300	0.290	0.295	0.273	0.273
AF382013.1_10403-10467	AC005783.1_27398-27326	foldalign	0.952	0.952	0.952	0.950	0.950
AF404073.1_70-162	AF404061.1_70-185	foldalign	0.552	0.593	0.572	0.562	0.562
X57046.1_121-203	X70810.2_31388-31317	foldalign	0.190	0.190	0.190	0.163	0.163
X03240.1_1267-1333	X12631.1_1795-1866	foldalign	1.000	1.000	1.000	1.000	1.000
AP003187.2_61536-61648	BX571872.1_163681-163547	foldalign	0.000	0.000	0.000	0.000	-0.033
AY037275.1_1275-1326	AY358058.1_1284-1335	foldalign	0.000	0.000	0.000	0.000	-0.040
AF213693.1_184-228	Z69700.1_341-389	foldalign	1.000	1.000	1.000	1.000	1.000
AJ437145.1_1-238	D45878.1_1-238	foldalign	0.000	0.000	0.000	0.000	-0.008
AF239645.1_518-616	K03454.1_125-223	foldalign	1.000	1.000	1.000	1.000	1.000
AF071855.1_254-326	X03602.1_660-731	foldalign	0.000	0.000	0.000	0.000	-0.029
AC146543.2_7696-7640	BX664748.7_61234-61180	foldalign	0.615	1.000	0.808	0.780	0.780
AE015942.1_292435-292345	AE006566.1_2765-2849	foldalign	0.346	0.321	0.334	0.316	0.316
L76410.1_391-642	U05876.1_398-649	foldalign	0.000	0.000	0.000	0.000	-0.007
D11414.1_117-219	AE000759.1_8335-8411	foldalign	0.000	0.000	0.000	0.000	-0.042
AL355149.13_15278-15208	M22563.1_71-141	foldalign	1.000	1.000	1.000	1.000	1.000
AF110973.1_184-300	AF042102.1_37-153	foldalign	0.364	0.353	0.358	0.348	0.348
L76405.1_393-644	AF541919.1_382-632	foldalign	0.887	0.887	0.887	0.887	0.887
AY036579.1_4390-4450	AJ132961.1_4445-4505	foldalign	1.000	1.000	1.000	1.000	1.000
AY029385.1_986-1138	AF468917.1_611-763	foldalign	1.000	1.000	1.000	1.000	1.000
AY267301.1_2-53	AJ534991.1_23-74	foldalign	1.000	1.000	1.000	1.000	1.000
X02707.1_2-120	X05234.1_1-119	foldalign	1.000	1.000	1.000	1.000	1.000
AY190404.1_1-181	AF041274.1_1-191	foldalign	0.000	0.000	0.000	0.000	-0.012
X03924.1_17-83	X02217.1_416-488	foldalign	1.000	1.000	1.000	1.000	1.000
X54035.1_52-153	AE014730.1_8718-8610	foldalign	0.382	0.382	0.382	0.365	0.365
V00711.1_3842-3772	X00181.1_495-582	foldalign	0.000	0.000	0.000	0.000	-0.031
U67517.1_7511-7582	M87833.1_2781-2865	foldalign	0.455	0.455	0.455	0.437	0.437
D00063.1_1-121	M36156.1_2-116	foldalign	0.658	0.676	0.667	0.658	0.658
AJ286142.1_52-103	AY563170.1_1281-1332	foldalign	1.000	1.000	1.000	1.000	1.000
V00646.1_1-107	X55265.1_3-119	foldalign	0.568	0.568	0.568	0.556	0.556
Z35330.1_6121-6235	M35568.1_2-115	foldalign	0.447	0.447	0.447	0.435	0.435
AF193253.1_1467-1518	AF197338.1_2038-2089	foldalign	1.000	1.000	1.000	1.000	1.000
L29622.1_5-230	U14768.1_1-239	foldalign	0.000	0.000	0.000	0.000	-0.009
D16387.1_11397-11328	M19493.1_263-336	foldalign	0.913	1.000	0.957	0.954	0.954
AF196724.1_579-677	L28871.1_483-581	foldalign	1.000	1.000	1.000	1.000	1.000
AF196763.1_599-697	U80533.1_411-509	foldalign	1.000	1.000	1.000	1.000	1.000
X56458.1_91-238	X06474.1_512-707	foldalign	0.361	0.406	0.384	0.376	0.376
X01698.1_176-465	X01055.1_1-297	foldalign	0.083	0.089	0.086	0.075	0.075
AF302996.1_4397-4457	U22521.1_4397-4457	foldalign	1.000	1.000	1.000	1.000	1.000
AF115393.1_8995-9051	L28864.1_329-385	foldalign	1.000	1.000	1.000	1.000	1.000
AF196710.1_461-517	U88826.1_8892-8948	foldalign	1.000	1.000	1.000	1.000	1.000
AF200692.2_21112-21025	X77508.1_2333-2408	foldalign	0.677	0.636	0.657	0.644	0.644
X59362.1_1-107	AF095841.1_1-107	foldalign	1.000	1.000	1.000	1.000	1.000
AE008809.1_3263-3335	X12890.1_1972-2045	foldalign	1.000	1.000	1.000	1.000	1.000
AC084571.1_17976-18047	X12631.1_1-73	foldalign	0.650	0.650	0.650	0.634	0.634
X06839.1_3-124	X02248.1_3-118	foldalign	1.000	1.000	1.000	1.000	1.000
AY125894.1_1289-1340	AF457060.1_1278-1329	foldalign	1.000	1.000	1.000	1.000	1.000
AC008443.10_42590-42518	X05395.1_122-195	foldalign	1.000	1.000	1.000	1.000	1.000
